title,time,fake or real
هذه الصورة ليست لمكة المكرمة عام 1860 بل لموقع تصوير سينمائي يحاكي مكة المكرمة في إيران,28 مارس 2024,fake
هذه الصورة تظهر طائرة بموقف مطار زيورخ في سويسرا ولا تبين هبوط طائرة بمطار المخاء في اليمن مؤخرا,18 مارس 2024,fake
هذه الصورة تعود للمدمرة الأمريكية كول التي استهدفت عام 2000 وليس لسفينة حربية استهدفها الحوثيين مؤخراً,5 مارس 2024,fake
هذا المقطع متداول منذ عام 2020 لغرق سفينة كورية، ولا يبين غرق السفينة روبيمار التي استهدفها الحوثي مؤخرًا,21 فبراير 2024,fake
هذا الفيديو لا يظهر مقتل قناص إسرائيلي في غزة حديثًا، بل متداول منذ عام 2016 على أنه في تركيا,6 فبراير 2024,fake
هذه الصورة ليست من استهداف ناقلة النفط البريطانية في خليج عدن مؤخراً، بل لاحتراق سفينة شحن عام 2019 في البحر الأحمر,27 يناير 2024,fake
هذه المشاهد تعود لاحتراق سفينة أمريكية في الولايات المتحدة عام 2020 وليس في البحر الأحمر حديثًا,12 يناير 2024,fake
هذا المقطع يظهر اعتذار استراليا عن استخدام دواء “الثاليدوميد” ولا صحة لاحتواء هذه المنتجات الغذائية على خلايا أجنة مجهضة,28 ديسمبر 2023,fake
هذه الصورة التي قيل إنها لمنشورات من فصائل عراقية تهدد بمهاجمة مجموعات تابعة لإيران في محافظة نينوى العراقية مفبركة,14 ديسمبر 2023,fake
هذا الفيديو يظهر الة حفر الانفاق في مناجم أستراليا عام 2019 وليس من الأنفاق التي تمتلكها حماس في قطاع غزة,2 ديسمبر 2023,fake
هذا المقطع المتداول قديم ولا يبيّن سقوط بايدن أثناء نزوله من الطائرة في بولندا بل موظفة في البيت الأبيض,20 نوفمبر 2023,fake
العلم الظاهر في هذه المظاهرة المؤيدة لغزة هو شعار حزب الرفاه الهندي وليس العلم الإيطالي,30 أكتوبر 2023,fake
هذا الفيديو متداول قبل الحرب بأسابيع ولا يظهر طفلة إسرائيلية اختُطفت هناك,16 أكتوبر 2023,fake
هذا المقطع متداول منذ أكتوبر 2018، وليس لإعصار ناري في تونس مؤخراً,29 سبتمبر 2023,fake
هذا الفيديو قديم ولا يظهر طفلة تبكي والدتها المتوفاة بسبب الفيضانات في مدينة درنة الليبية,16 سبتمبر 2023,fake
هذا المقطع معدل رقميًا، ولا يظهر لحظة وصول العاصفة دانيال إلى ليبيا مؤخرًا,13 سبتمبر 2023,fake
لا صحة لخبر حظر الرئيس الروسي فلاديمير بوتين لشبكات الجيل الخامس في روسيا,23 أغسطس 2023,fake
هذه الصورة تعود لمنحوتة فنية، ولا تبين ظهور مخلوق غريب في ساحل أبين في عدن,16 يوليو 2023,fake
هذا المقطع لا يظهر قرية حقيقية للسنافر في اليمن، وإنما مجسمٍ في وادي رم,18 يونيو 2023,fake
هذا المقطع يظهر عملا فنيا، وليس مخلوقا غريبا عثر عليه في غابات الصين,7 مايو 2023,fake
هذا المقطع معدل، ولا يبين إضاءة دار أوبرا سيدني بمناسبة السنة الآشورية مؤخرًا,10 أبريل 2023,fake
لم تحذر هيئة مسح زلازل أمريكية من زلزال مدمر في بلاد الشام ومصر,27 مارس 2023,fake
هذا المقطع معدل، ولا يبين تنبؤ مسلسل سيمبسونز بإفلاس بنك سيليكون فالي,15 مارس 2023,fake
هذا المقطع متداول منذ عام 2021 على أنه احتراق قارب في نيجيريا,2 مارس 2023,fake
هذا المقطع لا يصور سد أتاتورك في تركيا، وإنما لجسر مدين في باكستان,20 فبراير 2023,fake
ناسا لم تعلن أن هناك كويكبًا ضخمًا سيصطدم بالأرض خلال أيام,13 فبراير 2023,fake
هذا المقطع قديم، ولا يبين سقوط شخص بسبب الزلزال في تركيا مؤخرًا,9 فبراير 2023,fake
هذه الصورة قديمة لمطار بيروت الدولي، وليست لمطار عدن في اليمن,4 فبراير 2023,fake
هذه الصورة لا تعود لمنزل النائب العراقي مشعان الجبوري، بل لمجلس محافظة نينوى,29 يناير 2023,fake
هذا المقطع قديم ومتداول قبل تولي السوداني منصب رئاسة الوزراء العراقية,19 يناير 2023,fake
لا، لم تضاف رسوم مغادرة جديدة للمسافرين من مطار الخرطوم في السودان,14 يناير 2023,fake
هذه الصورة معدلة رقميا وليست صورة حقيقة لأمواج مدينة نازاري,7 يناير 2023,fake
هذه الصورة قديمة وتعود لتصميم مقترح تقاطع طرق في أوكرانيا وليس في مصر,26 ديسمبر 2022,fake
هذا المقطع متداول منذ عام 2018، ولا يظهر جدالًا بين طاقم تحكيم مباراة المغرب وفرنسا,18 ديسمبر 2022,fake
هذا المقطع لا يظهر تعرف طفل على نبضات قلب أمه المتبرع به لرجل آخر بعد وفاتها,10 ديسمبر 2022,fake
هذا المقطع المتداول معدل رقميّا، ولا يُصوّر ظهور الجنّ أمام منزل في اليمن,2 ديسمبر 2022,fake
هذا المقطع قديم، ولا يبين شجارًا بين جماهير منتخب الكاميرون بعد مباراة منتخبهم في قطر,26 نوفمبر 2022,fake
هذا المقطع قديم ومتداول منذ عام 2014 على الأقل ولا يصور مظاهرات حديثة في مصر,11 نوفمبر 2022,fake
هذا المقطع مركب، ولا يظهر افتتاح مسلخٍ للحوم الحمير في الجزائر,31 أكتوبر 2022,fake
هذه الصورة مفبركة ولا تظهر محمد شياع السوداني محلوق الشارب بعد تعيينه رئيسا للوزراء,22 أكتوبر 2022,fake
الكويكب الذي اعترضته مركبة ناسا “دارت” لم يكن يشكل أي تهديد للأرض,30 سبتمبر 2022,fake
هذه المعلومات حول ألمانيا خليط من المعلومات الصحيحة والزائفة,21 سبتمبر 2022,fake
هذه الصورة مركبة، وصور تلسكوب جيمس ويب حقيقية وغير معدلة من صور كرتونية,7 سبتمبر 2022,fake
هذا المقطع يعود لغرق مركب صيد في تونس عام 2019، وليس مركب مهاجرين غير نظاميين,26 أغسطس 2022,fake
هذه الصورة من فيتنام، ولا تظهر مراقبة غرف النزلاء في فندق في جزيرة جربة التونسية,11 أغسطس 2022,fake
هذا الفيديو قديم يعود لعام 2017، ولا علاقة له بالأحوال الجوية التي شهدتها مدينة أبها مؤخرا,29 يوليو 2022,fake
لا صحة لإعلان وزارة الاتصالات العراقية عن تحويل جميع خدمات الإنترنت عبر الكابل الضوئي,18 يوليو 2022,fake
هذا الحطام لا يعود إلى بقايا سيارة مفخخة والدخول إلى المتحف مجاني,1 يوليو 2022,fake
هذه الصورة المتداولة لا تظهر المتهم بقتل الطالبة المصرية نيرة رفقة الممثل محمد رمضان,27 يونيو 2022,fake
هذه الصورة المتداولة ليست لمدينة المرج الليبية بل لقرية سولوسوفا البولندية,18 يونيو 2022,fake
لا صحة لخبر تأخر موعد رحلات مترو أنفاق القاهرة لمدة 10 أيام بسبب أعطال فنية,6 يونيو 2022,fake
فيكتور جوميز هو حكم مباراة نهائي دوري أبطال افريقيا وليس بكاري جاساما,29 مايو 2022,fake
هذه الصورة مقتبسة من مشهد تمثيلي ولا تظهر اعتقال الممثل المعروف باسم “غضب الصحراء”,22 مايو 2022,fake
هذا المقطع للحكم بكاري جاساما في المطار قديم ويعود لعام 2020,6 مايو 2022,fake
هذا المقطع لا يظهر قصفًا روسيّا على مدينة كييف بل يعود لانفجار مستودعٍ للذخيرة عام 2017,21 أبريل 2022,fake
الاتحاد الدولي لكرة القدم (الفيفا) ينفي اعتزامه زيادة مدة مباريات كأس العالم قطر 2022,8 أبريل 2022,fake
هذا المقطع قديم يعود لحريق في مصنع ألبان عام 2019، ولا يُظهر إحراق مصنع زيوت في كربلاء,15 مارس 2022,fake
هذه الصورة التقطت في ناميبيا وليست مخيمات نزوح شمال أربيل,20 فبراير 2022,fake
هذه صورة مفبركة لشعار حملة تحمل اسم ” قوتي بتعليمي”,7 فبراير 2022,fake
هذه الصور قديمة لا تظهر الطفل المغربي ريان بل طفلا عراقيا جرى إنقاذه في الموصل,4 فبراير 2022,fake
لا، لم تصدر محكمة العدل الدولية قرارا بإلغاء جميع أشكال التطعيم ضد فيروس كورونا,25 يناير 2022,fake
هذه الصورة المتداولة قديمة، ولا تظهر إضاءة برج القاهرة بالعلم المغربي,14 يناير 2022,fake
هذه الصورة ليست لترعة المحمودية في الإسكندرية بل لقناة مائية في ميلانو الإيطالية,6 يناير 2022,fake
